-1.088154502213001251e-03,3.721702471375465393e-02,8.817150592803955078e-01,1.460650376975536346e-02,3.212884766981005669e-03,-7.149621248245239258e-01,6.990032196044921875e-01,-3.890051692724227905e-02,-8.554582484066486359e-03,9.191615879535675049e-02,6.953886896371841431e-02,-2.788767218589782715e-01,9.108506888151168823e-02,-5.596204847097396851e-02,-1.520263124257326126e-02,-1.359559148550033569e-01,7.401227951049804688e-02,-2.799509465694427490e-01,-9.063154458999633789e-02,8.096843957901000977e-03,0.000000000000000000e+00,0.000000000000000000e+00,-3.355419263243675232e-02,1.253835409879684448e-01,-5.053651332855224609e-01,-1.965185403823852539e-01,6.703495234251022339e-02,-2.000063890591263771e-03,-1.339503973722457886e-01,5.315521359443664551e-01,-2.274691164493560791e-01,-1.655215471982955933e-01
-1.192907220683991909e-03,3.761808201670646667e-02,8.817303776741027832e-01,2.090172469615936279e-02,9.560021571815013885e-03,-7.182072997093200684e-01,6.954495310783386230e-01,-5.541759729385375977e-02,-7.422963157296180725e-03,1.056150197982788086e-01,7.105755805969238281e-02,-2.845630049705505371e-01,8.969451487064361572e-02,-7.996438443660736084e-02,-1.425081957131624222e-02,-1.222482919692993164e-01,7.770234346389770508e-02,-2.783602476119995117e-01,-9.276454150676727295e-02,1.874701306223869324e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.008056223392486572e-02,1.351451873779296875e-01,-5.240648388862609863e-01,-2.137628644704818726e-01,9.642066806554794312e-02,-6.186760962009429932e-03,-1.464246213436126709e-01,5.524274110794067383e-01,-2.499468177556991577e-01,-2.074651569128036499e-01
-1.306419842876493931e-03,3.774589672684669495e-02,8.817491531372070312e-01,2.104196138679981232e-02,9.816742502152919769e-03,-7.194048166275024414e-01,6.942028403282165527e-01,-5.614253878593444824e-02,-6.840505637228488922e-03,1.103134453296661377e-01,7.218232005834579468e-02,-2.859562039375305176e-01,8.917566388845443726e-02,-8.237757533788681030e-02,-1.376904454082250595e-02,-1.177316233515739441e-01,7.963011413812637329e-02,-2.783867120742797852e-01,-9.340579807758331299e-02,2.102308534085750580e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.826242312788963318e-02,1.376460343599319458e-01,-5.302009582519531250e-01,-2.179914861917495728e-01,1.069147512316703796e-01,-3.460902255028486252e-03,-1.496763229370117188e-01,5.602539777755737305e-01,-2.567271292209625244e-01,-2.215050160884857178e-01
-1.448389491997659206e-03,3.787981718778610229e-02,8.817870020866394043e-01,1.961159519851207733e-02,8.559945039451122284e-03,-7.203835248947143555e-01,6.932457685470581055e-01,-5.293294787406921387e-02,-6.265625357627868652e-03,1.132885888218879700e-01,7.395626604557037354e-02,-2.867311835289001465e-01,8.884079009294509888e-02,-7.780935615301132202e-02,-1.329421810805797577e-02,-1.149567365646362305e-01,8.101601898670196533e-02,-2.802895605564117432e-01,-9.358365833759307861e-02,2.174678258597850800e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.425614908337593079e-02,1.384980827569961548e-01,-5.333213210105895996e-01,-2.194059640169143677e-01,1.128256916999816895e-01,1.066178083419799805e-03,-1.505965739488601685e-01,5.649392008781433105e-01,-2.598450481891632080e-01,-2.289080023765563965e-01
-1.620678231120109558e-03,3.813878446817398071e-02,8.818301558494567871e-01,2.019646763801574707e-02,9.132040664553642273e-03,-7.208582162857055664e-01,6.927280426025390625e-01,-5.404227972030639648e-02,-6.014525890350341797e-03,1.160267367959022522e-01,7.269480824470520020e-02,-2.868684232234954834e-01,8.817327022552490234e-02,-7.887502014636993408e-02,-1.285915262997150421e-02,-1.124911382794380188e-01,8.003858476877212524e-02,-2.803874909877777100e-01,-9.420894086360931396e-02,2.238967642188072205e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.367128595709800720e-02,1.408273428678512573e-01,-5.374664068222045898e-01,-2.222395837306976318e-01,1.198478713631629944e-01,2.123279729858040810e-03,-1.538385003805160522e-01,5.696061849594116211e-01,-2.644790410995483398e-01,-2.382837533950805664e-01
-1.811446505598723888e-03,3.810135647654533386e-02,8.818506598472595215e-01,1.865388080477714539e-02,7.727333810180425644e-03,-7.214273810386657715e-01,6.921956539154052734e-01,-5.055773258209228516e-02,-5.545715801417827606e-03,1.176576539874076843e-01,7.409986853599548340e-02,-2.868767678737640381e-01,8.774942904710769653e-02,-7.639491558074951172e-02,-1.255119033157825470e-02,-1.108506098389625549e-01,8.183992654085159302e-02,-2.797540724277496338e-01,-9.465553611516952515e-02,2.215744368731975555e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.007032722234725952e-02,1.412395685911178589e-01,-5.395548343658447266e-01,-2.229118049144744873e-01,1.237638220191001892e-01,6.280139088630676270e-03,-1.543166786432266235e-01,5.726330876350402832e-01,-2.663694322109222412e-01,-2.432785183191299438e-01
-1.998002873733639717e-03,3.841218352317810059e-02,8.818668127059936523e-01,1.939236558973789215e-02,8.432730101048946381e-03,-7.216320037841796875e-01,6.919538378715515137e-01,-5.262743681669235229e-02,-5.325101781636476517e-03,1.189617067575454712e-01,7.312602549791336060e-02,-2.863038182258605957e-01,8.700031787157058716e-02,-7.741849869489669800e-02,-1.216592919081449509e-02,-1.094920858740806580e-01,8.081331104040145874e-02,-2.800852656364440918e-01,-9.525963664054870605e-02,2.208946458995342255e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.046008571982383728e-02,1.429679691791534424e-01,-5.423074960708618164e-01,-2.250130772590637207e-01,1.281870305538177490e-01,6.462587043642997742e-03,-1.568907350301742554e-01,5.753599405288696289e-01,-2.697262465953826904e-01,-2.497932165861129761e-01
-2.243855502456426620e-03,3.851830586791038513e-02,8.818842768669128418e-01,1.802148856222629547e-02,7.215729448944330215e-03,-7.220971584320068359e-01,6.915192008018493652e-01,-4.961612448096275330e-02,-4.801157861948013306e-03,1.199768185615539551e-01,7.484988123178482056e-02,-2.864588499069213867e-01,8.652003854513168335e-02,-7.431378960609436035e-02,-1.179826725274324417e-02,-1.083109974861145020e-01,8.232896029949188232e-02,-2.803376913070678711e-01,-9.558848291635513306e-02,2.168417535722255707e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.759628742933273315e-02,1.430563926696777344e-01,-5.435376167297363281e-01,-2.253638952970504761e-01,1.307001858949661255e-01,9.964684955775737762e-03,-1.569985449314117432e-01,5.773670077323913574e-01,-2.710213959217071533e-01,-2.532887458801269531e-01
-2.413635840639472008e-03,3.882268443703651428e-02,8.819093108177185059e-01,1.876496523618698120e-02,7.923993282020092010e-03,-7.221067547798156738e-01,6.914816498756408691e-01,-5.235623195767402649e-02,-4.500497132539749146e-03,1.206118538975715637e-01,7.492038607597351074e-02,-2.858736217021942139e-01,8.568766713142395020e-02,-7.620385289192199707e-02,-1.142156030982732773e-02,-1.074952408671379089e-01,8.157472312450408936e-02,-2.799696624279022217e-01,-9.634770452976226807e-02,2.141769975423812866e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.856660448014736176e-02,1.442205905914306641e-01,-5.451532602310180664e-01,-2.268858999013900757e-01,1.336204558610916138e-01,9.590228088200092316e-03,-1.590100973844528198e-01,5.788463354110717773e-01,-2.734749615192413330e-01,-2.580275237560272217e-01
-2.661241218447685242e-03,3.900747746229171753e-02,8.819479942321777344e-01,1.923790015280246735e-02,8.301708847284317017e-03,-7.218643426895141602e-01,6.917173266410827637e-01,-5.332563072443008423e-02,-4.206647630780935287e-03,1.205044165253639221e-01,7.601507008075714111e-02,-2.867182195186614990e-01,8.472332358360290527e-02,-8.131206780672073364e-02,-1.131196040660142899e-02,-1.073811277747154236e-01,8.308670669794082642e-02,-2.770707607269287109e-01,-9.736294299364089966e-02,2.035312727093696594e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.947725169360637665e-02,1.446695029735565186e-01,-5.463050603866577148e-01,-2.281011939048767090e-01,1.361748874187469482e-01,9.408134035766124725e-03,-1.603526473045349121e-01,5.798476934432983398e-01,-2.754986584186553955e-01,-2.619547843933105469e-01
