-4.291243967600166798e-04,-7.578833959996700287e-03,8.654221296310424805e-01,1.648595370352268219e-02,-1.547311060130596161e-02,6.927597522735595703e-01,7.208139300346374512e-01,-1.113109290599822998e-01,-1.954581215977668762e-02,7.207729667425155640e-02,1.422725319862365723e-01,-4.831699654459953308e-02,8.635377883911132812e-02,-1.819833964109420776e-01,1.705373264849185944e-02,-3.045801632106304169e-02,3.342089653015136719e-01,-1.523083597421646118e-01,1.326441578567028046e-02,-2.785161882638931274e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.923978142440319061e-02,4.985734447836875916e-02,-4.280115664005279541e-01,-2.989783585071563721e-01,-2.127502858638763428e-01,-1.189702674746513367e-01,-9.846962243318557739e-02,-3.259231522679328918e-02,-1.000022590160369873e-01,5.309490561485290527e-01,-3.758854568004608154e-01,1.122365798801183701e-02,-3.861842676997184753e-02,1.337495893239974976e-01
-3.692280501127243042e-03,-7.553488947451114655e-03,8.632751107215881348e-01,1.947518438100814819e-02,-1.308001577854156494e-02,6.961143016815185547e-01,7.175475358963012695e-01,-1.398347169160842896e-01,-3.091566823422908783e-02,6.348949670791625977e-02,1.977601498365402222e-01,-7.804858684539794922e-02,9.044318646192550659e-02,-2.164916694164276123e-01,3.422473790124058723e-03,-3.316377848386764526e-02,4.052925109863281250e-01,-1.868824958801269531e-01,1.405299641191959381e-02,-4.123171418905258179e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.684826798737049103e-02,4.002424702048301697e-02,-4.217558503150939941e-01,-3.057416081428527832e-01,-2.178666740655899048e-01,-1.158796101808547974e-01,-9.752530604600906372e-02,-3.480494394898414612e-02,-1.095461621880531311e-01,5.396878719329833984e-01,-3.857971131801605225e-01,1.319681294262409210e-02,-2.884867042303085327e-02,1.327342540025711060e-01
-6.594774313271045685e-03,-4.838885273784399033e-03,8.624586462974548340e-01,1.903538219630718231e-02,-1.230070833116769791e-02,6.963685750961303711e-01,7.173264026641845703e-01,-1.538861691951751709e-01,-3.417779132723808289e-02,6.364767253398895264e-02,2.286365181207656860e-01,-9.793377667665481567e-02,9.174033999443054199e-02,-2.235132455825805664e-01,-1.110987621359527111e-03,-3.325992450118064880e-02,4.215266406536102295e-01,-1.962096095085144043e-01,1.668648608028888702e-02,-4.098631069064140320e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.732545159757137299e-02,3.447480872273445129e-02,-4.166038334369659424e-01,-3.034249544143676758e-01,-2.145085781812667847e-01,-1.186624690890312195e-01,-9.748561680316925049e-02,-3.443959727883338928e-02,-1.057867035269737244e-01,5.441896915435791016e-01,-3.886394202709197998e-01,1.411766465753316879e-02,-3.025617450475692749e-02,1.359695047140121460e-01
-9.594770148396492004e-03,-5.097654648125171661e-03,8.620827794075012207e-01,1.956967264413833618e-02,-1.353710610419511795e-02,6.959230899810791016e-01,7.177219986915588379e-01,-1.579553782939910889e-01,-3.641933202743530273e-02,6.399253755807876587e-02,2.416573911905288696e-01,-1.075115129351615906e-01,9.455407410860061646e-02,-2.230590432882308960e-01,-3.512104507535696030e-03,-3.169023990631103516e-02,4.237674176692962646e-01,-1.972500830888748169e-01,1.806577853858470917e-02,-4.070826619863510132e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.969310082495212555e-02,3.025363385677337646e-02,-4.200572073459625244e-01,-3.006675541400909424e-01,-2.181089073419570923e-01,-1.196759492158889771e-01,-9.762977808713912964e-02,-3.945604711771011353e-02,-9.721010923385620117e-02,5.479887127876281738e-01,-3.874312341213226318e-01,1.582792401313781738e-02,-2.921610325574874878e-02,1.374045461416244507e-01
-1.376916933804750443e-02,-3.125638235360383987e-03,8.625597357749938965e-01,1.856924965977668762e-02,-1.397159509360790253e-02,6.956350803375244141e-01,7.180193662643432617e-01,-1.475727409124374390e-01,-4.003170505166053772e-02,6.346263736486434937e-02,2.252272516489028931e-01,-1.062128841876983643e-01,9.670123457908630371e-02,-2.140216678380966187e-01,-5.659769289195537567e-03,-2.896969765424728394e-02,4.080842733383178711e-01,-1.908321082592010498e-01,1.971913315355777740e-02,-3.788583353161811829e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.309745177626609802e-02,2.789865434169769287e-02,-4.214543104171752930e-01,-2.990909516811370850e-01,-2.189043164253234863e-01,-1.204380691051483154e-01,-1.056101396679878235e-01,-4.574673995375633240e-02,-9.030690789222717285e-02,5.527274608612060547e-01,-3.887074589729309082e-01,1.405745837837457657e-02,-2.981664054095745087e-02,1.461831331253051758e-01
-1.680514030158519745e-02,-2.254218095913529396e-03,8.627892136573791504e-01,1.891348138451576233e-02,-1.384612172842025757e-02,6.955397725105285645e-01,7.181051373481750488e-01,-1.350962221622467041e-01,-4.450401291251182556e-02,6.625892966985702515e-02,2.040777951478958130e-01,-1.025610789656639099e-01,9.858217090368270874e-02,-2.096302360296249390e-01,-1.015661377459764481e-02,-2.911790646612644196e-02,4.011257588863372803e-01,-1.893795579671859741e-01,2.169081941246986389e-02,-3.705522045493125916e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.619757317006587982e-02,2.387872152030467987e-02,-4.239321351051330566e-01,-2.940003573894500732e-01,-2.234064340591430664e-01,-1.204375326633453369e-01,-1.100675985217094421e-01,-5.201891437172889709e-02,-8.159840852022171021e-02,5.574415922164916992e-01,-3.899889290332794189e-01,1.206549163907766342e-02,-3.101125359535217285e-02,1.494128257036209106e-01
-1.959547400474548340e-02,-1.393388956785202026e-03,8.624257445335388184e-01,2.052835188806056976e-02,-1.440254878252744675e-02,6.959041357040405273e-01,7.176967263221740723e-01,-1.313852667808532715e-01,-4.925978928804397583e-02,6.742385774850845337e-02,2.044529467821121216e-01,-1.088748872280120850e-01,1.021239534020423889e-01,-2.092120498418807983e-01,-1.559337321668863297e-02,-2.962441183626651764e-02,4.071817398071289062e-01,-1.928147226572036743e-01,2.309398911893367767e-02,-3.399048373103141785e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.741801179945468903e-02,1.785425841808319092e-02,-4.276450276374816895e-01,-2.901982963085174561e-01,-2.286882996559143066e-01,-1.228822320699691772e-01,-1.080856397747993469e-01,-5.607387423515319824e-02,-7.532931119203567505e-02,5.632300972938537598e-01,-3.936363458633422852e-01,1.426087319850921631e-02,-3.494706377387046814e-02,1.479278057813644409e-01
-2.168028801679611206e-02,-1.741184387356042862e-04,8.626489043235778809e-01,2.037206292152404785e-02,-1.325242407619953156e-02,6.958571672439575195e-01,7.177688479423522949e-01,-1.172803044319152832e-01,-5.355394631624221802e-02,7.058686763048171997e-02,1.767909675836563110e-01,-1.028635948896408081e-01,1.033854261040687561e-01,-2.064201682806015015e-01,-2.061625011265277863e-02,-3.364113345742225647e-02,4.001193940639495850e-01,-1.914672702550888062e-01,2.563274465501308441e-02,-3.311341255903244019e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.112497553229331970e-02,1.600474491715431213e-02,-4.261095821857452393e-01,-2.865312099456787109e-01,-2.272331863641738892e-01,-1.232692822813987732e-01,-1.161949485540390015e-01,-6.640135496854782104e-02,-7.150278240442276001e-02,5.687876939773559570e-01,-4.028802812099456787e-01,1.133603509515523911e-02,-3.407249972224235535e-02,1.532080620527267456e-01
-2.411248534917831421e-02,-8.292093989439308643e-04,8.620688915252685547e-01,2.259186841547489166e-02,-1.344390120357275009e-02,6.974759697914123535e-01,7.161257863044738770e-01,-1.140977814793586731e-01,-5.969863757491111755e-02,6.899937242269515991e-02,1.745679676532745361e-01,-1.072358787059783936e-01,1.055029407143592834e-01,-2.099012583494186401e-01,-2.782458998262882233e-02,-3.690464049577713013e-02,4.121915102005004883e-01,-1.977725178003311157e-01,2.482411451637744904e-02,-3.102477639913558960e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.083333186805248260e-02,1.286353450268507004e-02,-4.309699535369873047e-01,-2.896396815776824951e-01,-2.294407188892364502e-01,-1.265710294246673584e-01,-1.136305928230285645e-01,-7.545605301856994629e-02,-6.958928704261779785e-02,5.807046294212341309e-01,-4.103266298770904541e-01,1.494187209755182266e-02,-3.853140026330947876e-02,1.498343497514724731e-01
-2.599552087485790253e-02,-1.422825269401073456e-03,8.616417646408081055e-01,2.383395284414291382e-02,-1.277471520006656647e-02,6.994078755378723145e-01,7.142110466957092285e-01,-1.105116158723831177e-01,-6.512750685214996338e-02,6.766805797815322876e-02,1.669489294290542603e-01,-1.090263351798057556e-01,1.065708622336387634e-01,-2.134779691696166992e-01,-3.480387479066848755e-02,-4.290526732802391052e-02,4.202222526073455811e-01,-2.017868012189865112e-01,2.547848224639892578e-02,-2.906647324562072754e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.242916613817214966e-02,1.157138403505086899e-02,-4.368992149829864502e-01,-2.923450171947479248e-01,-2.331496179103851318e-01,-1.279115229845046997e-01,-1.144882813096046448e-01,-8.499236404895782471e-02,-6.809759885072708130e-02,5.899019837379455566e-01,-4.187938868999481201e-01,1.936384849250316620e-02,-4.080440849065780640e-02,1.470292359590530396e-01
