Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
11,-0.019276894629001617,2.1948630809783936,77.86079406738281,-0.46383930775914617,-2.0308081292834435,-88.841677581302,1.7268623,5.773764,15.515501,13.375944,-14.171716,-4.1080837,1.7098105,-5.8239436,-9.7459755,14.990895,-14.655369,6.5104747,-3.9407194,-0.0357259,8.823103,-5.5362773,13.942145,-37.935627,62.49125,18.038363,-3.4438112,2.623414,-6.2549586,-12.527022,35.923283,63.76738,0.084085636,-0.22341587,-0.18227886
12,-0.01329796202480793,2.1993703842163086,77.84303283691406,-0.4678408750294635,-2.131067821655123,-88.93372180773409,1.7322341,5.839298,15.595346,13.671443,-14.406462,-4.1560087,1.6776478,-5.8150787,-9.639058,15.243957,-14.8255005,6.543603,-3.891573,-0.064804345,9.026121,-6.0086126,14.302168,-38.67866,62.341476,18.613672,-3.3537292,2.292048,-6.828455,-12.833766,36.863,63.234325,-0.47750628,-0.20886232,0.019663503
13,-0.012787953950464725,2.206211805343628,77.82823181152344,-0.4726562331665168,-2.240798672927791,-89.0362787373746,1.7677705,5.902333,15.685658,13.926992,-14.6185,-4.2193265,1.6565154,-5.8030295,-9.531005,15.483459,-14.982149,6.5599895,-3.8455286,-0.10166273,9.257055,-6.554461,14.720652,-39.564056,62.20139,19.317307,-3.2815979,2.1192951,-7.446376,-13.193564,37.85437,62.526424,-1.2152236,-0.16559447,0.23525795
14,-0.009552589617669582,2.22594952583313,77.8105239868164,-0.47592071864260405,-2.3598445337594143,-89.1498975738404,1.8352888,5.9626956,15.788266,14.138858,-14.811638,-4.295337,1.64382,-5.7876525,-9.418134,15.715742,-15.129492,6.5615463,-3.7983816,-0.14451005,9.5153885,-7.163425,15.195702,-40.58837,62.048645,20.142628,-3.2158723,2.0519078,-8.100244,-13.605499,38.915325,61.650505,-2.1033912,-0.104116015,0.46272272
15,-0.014655436389148235,2.2399165630340576,77.7957763671875,-0.4794400735846529,-2.458859546165923,-89.27120257879412,1.8907721,6.021326,15.899476,14.328746,-14.987664,-4.373886,1.612541,-5.770358,-9.299184,15.931149,-15.2620735,6.5645075,-3.7505357,-0.18918438,9.759546,-7.7604027,15.728064,-41.625202,61.7485,21.017195,-3.093498,2.0993888,-8.74282,-14.073921,39.96164,60.56536,-3.1502228,-0.017672772,0.6449425
16,-0.01585559919476509,2.263946533203125,77.78227233886719,-0.4823881292000385,-2.508707293020608,-89.39685096344652,1.8982877,6.0776405,16.016268,14.501075,-15.141931,-4.444962,1.5395992,-5.7512875,-9.173441,16.11264,-15.370653,6.58514,-3.7036045,-0.23099127,9.947231,-8.266619,16.323565,-42.544556,61.163727,21.869652,-2.8508506,2.269765,-9.326685,-14.609656,40.910374,59.22932,-4.3635716,0.10299312,0.72559845
17,-0.0070946416817605495,2.2862753868103027,77.77076721191406,-0.48303596038516383,-2.5044627793518415,-89.52775379274351,1.8479923,6.1309137,16.13891,14.663,-15.275492,-4.5055327,1.4205335,-5.7311997,-9.036919,16.255651,-15.453476,6.6329455,-3.6613219,-0.2698852,10.071462,-8.692645,16.990486,-43.35835,60.289566,22.693521,-2.4496264,2.6057181,-9.862295,-15.222798,41.758102,57.616787,-5.8682704,0.27911615,0.7131887
18,-0.00940470490604639,2.295907497406006,77.76359558105469,-0.4828285122350498,-2.460972016182854,-89.6651031845924,1.7614601,6.1809173,16.269037,14.805638,-15.387694,-4.5609565,1.268546,-5.7092423,-8.8915615,16.366665,-15.514016,6.69761,-3.6228764,-0.30704963,10.153756,-9.0599785,17.733582,-44.120197,59.174244,23.520405,-1.9246069,3.0828722,-10.3581505,-15.918665,42.54798,55.737385,-7.617509,0.5057732,0.6364094
19,-0.010246150195598602,2.316040515899658,77.7583999633789,-0.4840174525618459,-2.378236002599558,-89.80590129749666,1.6402367,6.229872,16.40384,14.929603,-15.482196,-4.6136985,1.082353,-5.684395,-8.744816,16.455124,-15.555612,6.765411,-3.584784,-0.3395874,10.193199,-9.310141,18.557192,-44.761917,57.76227,24.334213,-1.3238823,3.6092417,-10.767144,-16.70452,43.26376,53.604652,-9.365918,0.7561244,0.46750268
20,-0.012007423676550388,2.326212167739868,77.75724792480469,-0.48680171652792653,-2.256305501853013,-89.94719856524942,1.4861907,6.2798896,16.540752,15.034737,-15.562591,-4.666239,0.8608274,-5.656182,-8.604237,16.52984,-15.581222,6.8229685,-3.544503,-0.36350808,10.190314,-9.384646,19.468458,-45.207527,55.99228,25.123684,-0.69804406,4.094618,-11.042983,-17.588524,43.887417,51.222015,-10.866201,1.004333,0.17554481
