Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
12,0.8355539441108704,2.4320921897888184,77.83547973632812,0.7827128728399846,-1.8752576042870785,-114.29300694602176,-3.4299393,14.5597515,23.398556,14.171014,-5.4563146,-10.940656,6.9349756,-7.943436,-16.605701,10.101232,-13.902292,7.2118864,1.7136307,0.5556483,10.5224495,-1.3438445,21.353151,-39.68607,47.876827,0.36475345,3.1433136,4.880453,-11.975672,-20.863926,61.72171,46.409634,31.962719,5.6777234,-7.5889406
13,0.8457933664321899,2.493648052215576,77.82659912109375,0.6933009446504743,-1.8906650646348944,-114.51764483888941,-3.6007326,14.848998,23.529127,14.673015,-5.634331,-10.972125,6.707382,-7.82842,-16.363058,10.375863,-13.9622555,7.1447773,1.7242498,0.69601285,10.686698,-2.0323088,21.526066,-40.452057,47.11454,-0.12768756,2.9467251,4.833607,-12.702501,-20.719864,62.086445,45.80358,33.367134,5.7114935,-7.0035944
14,0.8571078777313232,2.55251407623291,77.81494903564453,0.6023241555537204,-1.918312716156401,-114.75669674833276,-3.7633286,15.14968,23.666786,15.197123,-5.8237405,-10.994555,6.4864845,-7.708809,-16.107893,10.652762,-14.021491,7.0791764,1.7235441,0.84346354,10.863988,-2.7531621,21.702597,-41.187107,46.272568,-0.7690504,2.715842,4.737857,-13.478252,-20.559437,62.415188,45.179012,34.809464,5.721072,-6.336426
15,0.8675597906112671,2.6171889305114746,77.8018798828125,0.5101087610399955,-1.9538323008601737,-115.01622745722925,-3.9143999,15.46174,23.820171,15.7317705,-6.0182085,-11.014994,6.2662973,-7.583352,-15.833245,10.930658,-14.078172,7.0137224,1.715976,0.99684906,11.048051,-3.5095248,21.883703,-41.87885,45.345604,-1.5063587,2.4691794,4.6275644,-14.313336,-20.383154,62.70759,44.52281,36.238297,5.7180305,-5.6824856
16,0.8812682628631592,2.67657208442688,77.79041290283203,0.41733718405482295,-1.9928486334305864,-115.30228821413789,-4.04688,15.782693,23.998917,16.257288,-6.2098446,-11.040131,6.0421724,-7.4511433,-15.532529,11.206351,-14.129853,6.9470215,1.7027137,1.1553205,11.232434,-4.3097496,22.071571,-42.518543,44.332687,-2.294157,2.2236774,4.5375414,-15.211483,-20.191957,62.959663,43.81767,37.592243,5.70819,-5.137716
17,0.8973156809806824,2.7426764965057373,77.7776870727539,0.32300787623397276,-2.0332102971753776,-115.61636022265974,-4.164712,16.115585,24.203922,16.776243,-6.398923,-11.071397,5.8106728,-7.3100796,-15.203367,11.479593,-14.175078,6.879805,1.6881105,1.3185294,11.416774,-5.147938,22.267065,-43.106987,43.219593,-3.1861281,1.9709353,4.456506,-16.178795,-19.98599,63.187927,43.069263,38.900608,5.687118,-4.708537
18,0.9091888666152954,2.810051202774048,77.76548767089844,0.22724260939180507,-2.0777568044087076,-115.95519184470243,-4.269941,16.46118,24.430485,17.297785,-6.5898137,-11.104986,5.5753083,-7.1609297,-14.849729,11.752066,-14.215749,6.8125553,1.6686434,1.487265,11.602168,-6.022921,22.470959,-43.650574,42.01109,-4.1887736,1.7070602,4.3706036,-17.205614,-19.764795,63.384857,42.281094,40.174995,5.6488495,-4.349186
19,0.9258019924163818,2.8803396224975586,77.75255584716797,0.13253882573307674,-2.1295155528798766,-116.31794348689638,-4.3537803,16.813992,24.680132,17.815514,-6.7788243,-11.140383,5.3421874,-7.007359,-14.474208,12.0207615,-14.2515335,6.7436137,1.6383187,1.6612413,11.786348,-6.938812,22.684704,-44.141647,40.723145,-5.1710854,1.455105,4.312362,-18.295797,-19.530024,63.529026,41.441093,41.35875,5.590873,-4.0765424
20,0.9426188468933105,2.950227737426758,77.73868560791016,0.04144708003202424,-2.191503034285698,-116.70409877675144,-4.409904,17.169947,24.953978,18.328096,-6.96433,-11.176848,5.117058,-6.8523765,-14.079304,12.285127,-14.284948,6.671375,1.5905461,1.840713,11.966896,-7.901447,22.910513,-44.57413,39.372646,-6.0042706,1.2364764,4.3159738,-19.44828,-19.284933,63.59584,40.53381,42.389397,5.51013,-3.9078994
21,0.9606404304504395,3.013908624649048,77.72447967529297,-0.04378057590257321,-2.264458290263864,-117.11731717342002,-4.4310546,17.52679,25.257704,18.82917,-7.1443367,-11.215061,4.8994904,-6.69817,-13.662431,12.546815,-14.317222,6.5933833,1.5238644,2.0230327,12.141986,-8.890193,23.14703,-44.94011,37.937992,-6.6506953,1.0608176,4.398702,-20.655207,-19.031961,63.5733,39.547104,43.181133,5.4147935,-3.8492484
