Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
12,1.7409433126449585,1.589737057685852,78.47217559814453,0.8696190113927003,1.1297388861740973,-87.9531790912825,2.2392662,3.9117746,7.624228,8.620643,-11.693517,-5.168706,2.5504122,-8.497017,-9.951359,8.906601,-11.506083,9.217057,-2.9040325,-2.1777813,4.65568,-6.4290614,15.468814,-57.27685,60.61946,8.778094,5.6688685,3.7581253,0.5793468,-10.1285515,22.885359,53.31551,-14.801504,-2.2632875,-0.4260539
13,1.8010987043380737,1.6659969091415405,78.4786148071289,0.9001362257762205,1.3524803861245949,-87.89423050671502,1.9383532,3.8026338,7.569415,8.54708,-11.580401,-5.1130342,2.090888,-8.626805,-9.959175,9.217031,-11.510976,9.293225,-2.9740922,-2.26386,4.688949,-6.352583,15.663293,-57.545856,60.144196,8.727087,5.8863416,3.6077526,0.5841789,-10.102379,22.326462,52.73898,-14.513137,-2.4721632,-0.6594952
14,1.8665835857391357,1.7549242973327637,78.48616027832031,0.9337879037517812,1.5976314416495192,-87.83899252353596,1.6419307,3.6834154,7.520531,8.405708,-11.431166,-5.061748,1.578651,-8.76661,-9.958725,9.572164,-11.520224,9.371468,-3.0513208,-2.355153,4.7172937,-6.243456,15.868987,-57.72607,59.60477,8.563019,6.163178,3.4717999,0.5696942,-10.077705,21.786133,52.17552,-14.253446,-2.686235,-0.905806
15,1.931723713874817,1.8338779211044312,78.49130249023438,0.9696270585830289,1.858020102226151,-87.78690100679037,1.3395466,3.5586653,7.475781,8.229274,-11.2611885,-5.0113883,1.0079628,-8.914918,-9.94344,9.995595,-11.540425,9.450302,-3.1314905,-2.4521027,4.758594,-6.1105103,16.088074,-57.799736,58.997246,8.22919,6.425955,3.3348007,0.53186506,-10.054304,21.266682,51.624447,-14.019453,-2.899611,-1.1590718
16,2.0004754066467285,1.9169204235076904,78.49933624267578,1.0066658004028262,2.126388274941039,-87.73793659330612,1.0228677,3.4328494,7.433512,8.0455885,-11.082941,-4.958467,0.3719834,-9.070983,-9.906356,10.513572,-11.5796175,9.527893,-3.2126417,-2.5558834,4.830042,-5.9610868,16.325212,-57.746952,58.31551,7.668143,6.601804,3.180491,0.463321,-10.031702,20.773592,51.088055,-13.807217,-3.106125,-1.413921
17,2.064518451690674,2.02168607711792,78.50721740722656,1.0474220235871035,2.419917514985203,-87.6906412980042,0.67778015,3.3017366,7.3946533,7.8435683,-10.890108,-4.9046884,-0.3297556,-9.2353325,-9.849036,11.086446,-11.6359,9.608205,-3.3021846,-2.6686685,4.9133143,-5.8006682,16.584936,-57.596375,57.56673,6.7766514,6.711476,2.9616997,0.35826355,-10.009217,20.312704,50.569695,-13.62013,-3.3063765,-1.6674713
18,2.133613348007202,2.1345746517181396,78.51228332519531,1.090787162742021,2.735660790714503,-87.64552803764397,0.31409654,3.165693,7.3595805,7.6129737,-10.678729,-4.8512564,-1.0944093,-9.4068,-9.7736,11.717648,-11.707605,9.689803,-3.3988857,-2.7891884,5.0077353,-5.6217422,16.869274,-57.344826,56.744213,5.614531,6.784946,2.7007391,0.21995924,-9.987414,19.879807,50.068584,-13.4593115,-3.5025792,-1.9236448
19,2.2023308277130127,2.255732297897339,78.52085876464844,1.1307980561955857,3.0369586709864014,-87.60531631156304,-0.042476457,3.034867,7.325975,7.3838987,-10.46462,-4.7936287,-1.9241495,-9.580993,-9.673958,12.493342,-11.799454,9.761957,-3.489345,-2.9128728,5.156058,-5.410971,17.17987,-56.92317,55.819477,4.3681946,6.759601,2.4819496,0.05532777,-9.967016,19.467337,49.58008,-13.316041,-3.6913145,-2.1868844
20,2.262040376663208,2.3997936248779297,78.52754211425781,1.1626018234142939,3.287838720696859,-87.57284148704017,-0.36932018,2.9176164,7.291767,7.1929555,-10.267667,-4.726839,-2.8211427,-9.755222,-9.543562,13.498183,-11.914333,9.813073,-3.5620759,-3.0366368,5.400441,-5.1514993,17.518768,-56.258354,54.76199,3.2259696,6.568069,2.3864884,-0.13078612,-9.948907,19.07115,49.100864,-13.180184,-3.8690796,-2.4618146
21,2.3252031803131104,2.55920672416687,78.53842163085938,1.174477778366126,3.4868567330512508,-87.55715322358665,-0.6952259,2.8316383,7.257924,7.1106744,-10.130392,-4.649045,-3.7822952,-9.908371,-9.33511,14.718265,-12.070469,9.813755,-3.6145978,-3.1466873,5.741743,-4.8463774,17.89148,-55.34864,53.58973,2.4445145,6.1760755,2.4049525,-0.34756655,-9.931296,18.688505,48.637825,-13.051239,-4.0300965,-2.7540333
