Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
12,0.9102364778518677,2.6390819549560547,77.63475036621094,0.8826132814768922,-0.7945242712504785,-85.7131849449659,5.5536065,4.583415,24.245174,7.6346073,-12.855638,-5.262547,5.041705,-11.241207,-26.481764,11.961012,-12.794229,9.74546,-1.0667207,-1.0152919,4.9615436,6.1542554,17.850708,-14.649923,66.75463,-7.036438,1.2548503,-9.776405,-0.70841765,-15.422841,30.14623,64.78437,21.873325,11.068069,6.807356
13,0.934259295463562,2.6579396724700928,77.63335418701172,0.8845629839948554,-0.7779108235485759,-85.7330109828963,5.50607,4.5721965,24.262604,7.6871676,-12.888393,-5.2396064,4.9099493,-11.308543,-26.442503,12.177785,-12.856487,9.75252,-1.0444111,-1.0845479,4.965677,6.172822,18.151354,-14.254328,66.84022,-6.94587,1.2237793,-9.772859,-0.71508485,-15.537539,29.992449,64.855064,21.835377,10.994558,6.846564
14,0.9578042030334473,2.6742258071899414,77.6295166015625,0.8802567971992024,-0.7577472516985643,-85.75329744881125,5.446645,4.569517,24.279781,7.7546206,-12.93071,-5.2195864,4.7729673,-11.369422,-26.403252,12.39195,-12.913803,9.760864,-1.0180073,-1.1506922,4.970188,6.1933875,18.474104,-13.83546,66.91913,-6.8686633,1.1894163,-9.798568,-0.71657,-15.668458,29.82263,64.92378,21.777565,10.915399,6.896582
15,0.9772327542304993,2.687957763671875,77.62805938720703,0.8736558295046554,-0.732366287970713,-85.77161339945303,5.37261,4.571595,24.294312,7.837546,-12.979479,-5.1992764,4.623084,-11.431409,-26.364119,12.619614,-12.973168,9.76706,-0.99369484,-1.2176917,4.973432,6.218792,18.81924,-13.392277,66.9911,-6.7913985,1.1536999,-9.83744,-0.7170305,-15.816931,29.634636,64.99451,21.704088,10.837588,6.9643064
16,0.9987159371376038,2.704664945602417,77.6250228881836,0.8690376379729723,-0.7000355297670862,-85.78529573824585,5.280768,4.5744815,24.303879,7.937418,-13.032541,-5.1755614,4.451977,-11.502782,-26.32498,12.878533,-13.042554,9.767934,-0.9775739,-1.2897522,4.973896,6.2512903,19.187393,-12.925627,67.056175,-6.7028646,1.1186388,-9.873324,-0.72112805,-15.985377,29.426834,65.07306,21.619904,10.766688,7.057131
17,1.0227175951004028,2.724351644515991,77.62261962890625,0.8673479443442818,-0.6609511223175981,-85.79284290593327,5.170285,4.5764995,24.307203,8.05669,-13.090586,-5.146614,4.2582293,-11.586525,-26.286135,13.174818,-13.125762,9.761063,-0.97109395,-1.3688612,4.971276,6.2959676,19.576656,-12.426272,67.111046,-6.603057,1.0828924,-9.90353,-0.7244156,-16.17527,29.191555,65.14939,21.524508,10.711616,7.173825
18,1.0481985807418823,2.740441083908081,77.6189193725586,0.8659975724621294,-0.6157836685158058,-85.79596381593251,5.043378,4.579393,24.305859,8.193175,-13.154266,-5.114343,4.051841,-11.675019,-26.24853,13.484896,-13.213753,9.748796,-0.970933,-1.45173,4.966589,6.349732,19.986378,-11.897055,67.15736,-6.497415,1.0460624,-9.936194,-0.72438604,-16.386686,28.931355,65.22257,21.415865,10.666441,7.3121533
19,1.0714582204818726,2.765650749206543,77.6158447265625,0.8653521582271461,-0.5637613760979724,-85.79682444787517,4.9005866,4.58497,24.301468,8.342236,-13.220932,-5.081053,3.8230479,-11.770223,-26.209372,13.824714,-13.308248,9.734801,-0.9758049,-1.5365376,4.95929,6.404865,20.42034,-11.355545,67.2018,-6.380915,1.0113089,-9.971339,-0.7277196,-16.622234,28.661295,65.3049,21.29656,10.62021,7.47491
20,1.0964970588684082,2.7934410572052,77.61455535888672,0.861487871229153,-0.5038201915557731,-85.79791277209168,4.7422915,4.595521,24.295717,8.499739,-13.288078,-5.0491834,3.5711288,-11.868948,-26.16787,14.189126,-13.401815,9.722592,-0.9842317,-1.621879,4.9489913,6.455021,20.884851,-10.818969,67.24865,-6.2488494,0.982207,-10.009399,-0.7386276,-16.885862,28.394611,65.405304,21.168234,10.5624485,7.665055
21,1.1218522787094116,2.8210532665252686,77.6133804321289,0.8565347065692499,-0.43435154731525866,-85.79955857210774,4.565519,4.6107116,24.287672,8.667408,-13.355579,-5.019544,3.2930806,-11.972382,-26.127525,14.580657,-13.495906,9.712741,-0.99596375,-1.7096196,4.935891,6.4997406,21.383,-10.285469,67.29678,-6.099314,0.96,-10.053705,-0.7540753,-17.179394,28.124987,65.51774,21.052307,10.492464,7.8943653
22,1.1501847505569458,2.8499279022216797,77.60932922363281,0.8513477904554434,-0.3563222035206552,-85.80055576135712,4.371821,4.629322,24.276833,8.844353,-13.423461,-4.9908743,2.9908617,-12.080973,-26.087399,14.999175,-13.592706,9.703451,-1.0104834,-1.8005548,4.920723,6.5443034,21.91407,-9.747521,67.341484,-5.9349446,0.9431348,-10.104168,-0.7685928,-17.502733,27.847157,65.63414,20.94106,10.415531,8.15839
23,1.1728408336639404,2.887737512588501,77.60725402832031,0.8429073721212321,-0.2729062305728467,-85.8010334136704,4.1673265,4.6520777,24.265703,9.026935,-13.491942,-4.962474,2.6691654,-12.192149,-26.039883,15.440571,-13.687874,9.694871,-1.0265208,-1.8920447,4.905412,6.589904,22.479368,-9.217281,67.38231,-5.7612514,0.9304685,-10.156883,-0.7845626,-17.85793,27.576374,65.76223,20.79293,10.329775,8.435137
24,1.1947391033172607,2.9299395084381104,77.60604858398438,0.8310542559986355,-0.1874296329827592,-85.80093110510845,3.962171,4.6778593,24.25686,9.201815,-13.556012,-4.9334526,2.3331869,-12.3029,-25.977638,15.900259,-13.777241,9.687158,-1.0422163,-1.9815153,4.892031,6.6381693,23.080631,-8.706119,67.417755,-5.58289,0.92140216,-10.20788,-0.8040037,-18.248142,27.328995,65.90798,20.567818,10.233535,8.702881
25,1.213588833808899,2.9722323417663574,77.60618591308594,0.8155977389918623,-0.10055743685784455,-85.7997543642249,3.7549155,4.709553,24.251722,9.3741665,-13.619338,-4.902833,1.9835423,-12.4108,-25.899397,16.376421,-13.86024,9.6729555,-1.0579219,-2.0673168,4.8835125,6.690472,23.717552,-8.214611,67.4419,-5.3952813,0.9164155,-10.253148,-0.82101303,-18.672434,27.08581,66.06933,20.230156,10.1173315,8.943834
26,1.2352951765060425,3.0141372680664062,77.60474395751953,0.7976435870573819,-0.010583006331544766,-85.79764928699025,3.5435038,4.745705,24.248936,9.543836,-13.680436,-4.87129,1.6179383,-12.517607,-25.808714,16.871162,-13.938236,9.654855,-1.0731562,-2.151061,4.878076,6.745102,24.389774,-7.738018,67.45788,-5.197904,0.9157047,-10.295989,-0.83476156,-19.130304,26.845291,66.24231,19.810627,9.984575,9.17302
27,1.257541298866272,3.0563583374023438,77.60613250732422,0.777602517307447,0.08259041350000293,-85.79587858050463,3.3287518,4.7830997,24.24575,9.708679,-13.737653,-4.841128,1.2358974,-12.626709,-25.70577,17.387114,-14.012378,9.648286,-1.0871211,-2.2349446,4.8709836,6.799922,25.099566,-7.278805,67.47629,-5.001809,0.9178285,-10.344032,-0.8550384,-19.628145,26.64879,66.42937,19.364796,9.852437,9.4188175
28,1.2835584878921509,3.100661277770996,77.6089096069336,0.7584709312226497,0.17909919947918743,-85.7957083341685,3.1119654,4.818685,24.239532,9.866002,-13.788696,-4.814501,0.83360505,-12.742794,-25.589716,17.934313,-14.08554,9.668526,-1.0991341,-2.3197978,4.8590984,6.8554773,25.848679,-6.8356977,67.50396,-4.8162465,0.9212517,-10.405968,-0.8873399,-20.174147,26.537857,66.62442,18.94932,9.739101,9.710642
29,1.3068608045578003,3.1445953845977783,77.61113739013672,0.7373892267657551,0.2836399254497056,-85.79447618005408,2.884673,4.8554707,24.22392,10.019437,-13.83389,-4.793142,0.40563038,-12.865421,-25.474062,18.51748,-14.1588,9.712519,-1.113957,-2.4035313,4.83967,6.9117203,26.63983,-6.421392,67.54038,-4.6453557,0.92765063,-10.484976,-0.9381374,-20.775047,26.543303,66.82049,18.585915,9.655635,10.061576
30,1.3271621465682983,3.198187828063965,77.61335754394531,0.714346494266012,0.39448961191947524,-85.79247759828526,2.6494517,4.8939586,24.202156,10.168373,-13.87358,-4.775555,-0.044846065,-12.991967,-25.354519,19.131308,-14.231103,9.774695,-1.130954,-2.4851103,4.81695,6.9710913,27.471643,-6.028679,67.57869,-4.4827213,0.9371782,-10.577768,-0.9999331,-21.431105,26.637867,67.01336,18.243979,9.590928,10.456116
31,1.3464703559875488,3.2483761310577393,77.61187744140625,0.6938961682822956,0.5021539161888474,-85.79550992853035,2.4220617,4.9284153,24.18573,10.309873,-13.910035,-4.7589135,-0.5085392,-13.124269,-25.203583,19.770674,-14.301513,9.86643,-1.1422,-2.5673625,4.797214,7.0358696,28.339193,-5.6308894,67.61978,-4.324682,0.94588864,-10.681011,-1.0615567,-22.141354,26.776033,67.20744,17.898956,9.529364,10.879561
32,1.3668349981307983,3.2972195148468018,77.60932922363281,0.6809653648278732,0.597139435407464,-85.80942959927334,2.2178302,4.9530597,24.186275,10.443111,-13.946307,-4.740186,-0.9753027,-13.263412,-24.994324,20.42918,-14.368457,9.999025,-1.1399407,-2.6522274,4.7868876,7.108223,29.23595,-5.20083,67.665306,-4.1674685,0.94996345,-10.791211,-1.1110836,-22.903727,26.91371,67.40676,17.528202,9.455282,11.316961
33,1.3912087678909302,3.3570468425750732,77.60739135742188,0.6747738290943694,0.6794129228051675,-85.8398209131769,2.0392747,4.967898,24.20907,10.56575,-13.981311,-4.71852,-1.448623,-13.413497,-24.74201,21.115728,-14.432217,10.176234,-1.1184562,-2.7397459,4.7847657,7.186861,30.156967,-4.7297134,67.72787,-4.0104966,0.9394277,-10.898351,-1.1518545,-23.720524,27.066502,67.6179,17.10554,9.355618,11.7832
34,1.4131957292556763,3.401160717010498,77.60657501220703,0.6729431163449179,0.7531217375094537,-85.88209635599092,1.8781878,4.976145,24.247063,10.680313,-14.014566,-4.6955833,-1.9327499,-13.572028,-24.453293,21.832386,-14.49468,10.391422,-1.0843471,-2.826047,4.7886133,7.2714753,31.102177,-4.2317038,67.80487,-3.8558393,0.9190082,-11.0059805,-1.1894256,-24.592754,27.250952,67.836464,16.65111,9.240768,12.279634
35,1.436038851737976,3.4435958862304688,77.60502624511719,0.6783798566061385,0.8152118827200092,-85.92720313666814,1.7332163,4.977116,24.293642,10.794556,-14.050023,-4.671874,-2.4170818,-13.72826,-24.088305,22.557892,-14.554702,10.640562,-1.0467528,-2.910932,4.8008485,7.367414,32.0743,-3.7118812,67.87585,-3.6989293,0.906664,-11.130567,-1.2172158,-25.517862,27.42022,68.05885,16.208117,9.130046,12.770004
36,1.4584418535232544,3.484341859817505,77.59652709960938,0.6935020608356466,0.8626936614009993,-85.96611341010947,1.6099828,4.9671555,24.342901,10.899645,-14.088393,-4.6484594,-2.8925884,-13.870619,-23.607473,23.273926,-14.613534,10.920743,-1.012178,-2.9943786,4.824181,7.4767995,33.07834,-3.179331,67.92153,-3.536529,0.9203869,-11.289789,-1.2239358,-26.490868,27.52234,68.2786,15.817693,9.04405,13.218985
