Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
12,-0.5741395354270935,-1.5002695322036743,78.678955078125,-0.07760806833528201,-0.7039909566359098,-97.04864459282926,7.8608575,7.827447,18.524096,10.576011,-12.827116,-7.5947595,6.1944895,-5.860584,-10.253249,7.0488124,-11.439009,6.141048,-4.840525,-0.23777029,12.397654,4.0814605,17.686588,-26.69106,57.060627,1.3376951,-0.97401404,-6.903411,-2.8170993,-20.145353,49.079117,55.438843,-11.37706,-1.4734434,1.5082676
13,-0.5836056470870972,-1.5107325315475464,78.6791000366211,-0.08637523235584117,-0.4346565160357602,-96.58450825119046,6.7362,8.03862,18.22661,12.093834,-13.356172,-7.4156246,6.0259566,-5.9022894,-10.778172,7.0436234,-11.493578,6.200338,-5.0586147,-0.2985449,12.433278,3.6995492,17.803024,-26.666395,57.6676,0.8225822,-1.0358739,-6.8555665,-2.8800986,-20.195953,48.967163,55.42016,-11.179773,-1.4321896,1.518183
14,-0.5937533378601074,-1.5100075006484985,78.67570495605469,-0.1183430694246632,-0.15413871067449053,-96.03907406367634,5.446581,8.304218,17.863474,13.878558,-13.974199,-7.201776,5.8618584,-5.921998,-11.382802,7.036529,-11.54833,6.254025,-5.319576,-0.32407066,12.476797,3.254444,17.879316,-26.604073,58.384617,0.38116235,-0.98163044,-6.808705,-2.9583797,-20.23753,48.860054,55.450626,-10.945605,-1.4165331,1.4942943
15,-0.604831874370575,-1.4981825351715088,78.65926361083984,-0.17056829251038141,0.11152242495078758,-95.45975599100369,4.1291018,8.612841,17.587646,15.766449,-14.611737,-6.992048,5.7243314,-5.923155,-12.017438,7.0287476,-11.6186495,6.3185534,-5.5460424,-0.32280502,12.556661,2.8081656,17.967075,-26.524382,59.078796,0.028779361,-0.8684569,-6.7415743,-3.0417347,-20.301208,48.815506,55.5187,-10.50247,-1.4333402,1.4975414
16,-0.6126174330711365,-1.4840813875198364,78.6324234008789,-0.2352454437101126,0.33654949942668516,-94.89393852618652,2.9138284,8.962376,17.553366,17.61568,-15.210403,-6.826075,5.6362395,-5.9101176,-12.632539,7.02164,-11.720156,6.410442,-5.6873865,-0.29312745,12.68237,2.3931968,18.051657,-26.422394,59.69491,-0.20121937,-0.7590441,-6.622759,-3.1612344,-20.381584,48.93553,55.688923,-9.667193,-1.4889147,1.5839423
17,-0.613647997379303,-1.4838348627090454,78.59820556640625,-0.31656047678542343,0.5162782348816437,-94.34028459489991,1.7981114,9.373131,17.792425,19.460144,-15.765894,-6.7298594,5.603702,-5.8784056,-13.228608,7.012986,-11.856433,6.5442824,-5.742323,-0.23223573,12.863058,2.00286,18.129374,-26.279577,60.230873,-0.21586642,-0.63934827,-6.433291,-3.32246,-20.474085,49.239082,55.99727,-8.275385,-1.617688,1.7450744
18,-0.610074520111084,-1.4863041639328003,78.5516128540039,-0.4144013553773983,0.664658631943245,-93.77872864853775,0.7224291,9.848573,18.22495,21.368092,-16.312473,-6.676426,5.613339,-5.8288107,-13.825932,7.0038867,-12.019357,6.707456,-5.7414265,-0.14391136,13.089317,1.6261328,18.202206,-26.095007,60.716446,-0.058343187,-0.48590004,-6.1935086,-3.5163512,-20.578726,49.686443,56.412235,-6.4588275,-1.800474,1.9622729
19,-0.6061989068984985,-1.4919352531433105,78.5000228881836,-0.5180301729689218,0.7835872150129136,-93.2276122830134,-0.25873554,10.363055,18.841349,23.229279,-16.843773,-6.6271396,5.661624,-5.7729206,-14.409201,6.9963746,-12.205281,6.878772,-5.6664248,-0.035970602,13.344647,1.2818234,18.27262,-25.90746,61.141834,0.09523944,-0.34722418,-5.9310894,-3.7397056,-20.693071,50.2671,56.888256,-4.4875283,-1.9605126,2.2746239
20,-0.6042969226837158,-1.5187058448791504,78.44454956054688,-0.6173172991588399,0.8746370979896952,-92.70494889325704,-1.0929828,10.89109,19.631733,24.937109,-17.35507,-6.543099,5.74545,-5.7202954,-14.962313,6.990351,-12.409865,7.0358,-5.4988585,0.08476544,13.612392,0.98964876,18.343637,-25.756104,61.49629,0.068579,-0.2732846,-5.6723714,-3.9934275,-20.813332,50.970837,57.38379,-2.6315775,-2.020857,2.7151346
21,-0.5939421057701111,-1.5520087480545044,78.38652801513672,-0.7169737070090649,0.9305965708114221,-92.23359772324746,-1.7505672,11.450084,20.65779,26.477377,-17.83973,-6.435119,5.8644037,-5.663622,-15.462151,6.9880285,-12.640477,7.169986,-5.211292,0.22521812,13.906744,0.7400967,18.42084,-25.680304,61.770874,-0.2090835,-0.28312558,-5.4095297,-4.2805667,-20.937616,51.798767,57.904495,-0.7608129,-1.9630665,3.3014448
22,-0.5772559642791748,-1.5957692861557007,78.32466125488281,-0.8216122778238432,0.9535952495742286,-91.79731521444273,-2.2577972,12.048639,21.905613,27.904932,-18.3052,-6.316958,6.020605,-5.598667,-15.923781,6.9868507,-12.895787,7.2938766,-4.8180017,0.38801876,14.2304,0.52861875,18.505991,-25.652473,61.968254,-0.63759995,-0.34963414,-5.1338763,-4.5997715,-21.064543,52.751373,58.4653,1.1999338,-1.815679,4.0069666
23,-0.5571811199188232,-1.6458030939102173,78.26109313964844,-0.9226309913036155,0.9589497919884793,-91.3556553264651,-2.6531668,12.645978,23.251833,29.220488,-18.763771,-6.154668,6.21144,-5.5399795,-16.388899,6.9854426,-13.161526,7.4161105,-4.365537,0.5611039,14.54934,0.38401198,18.594149,-25.606493,62.096176,-1.133436,-0.45428088,-4.870009,-4.945867,-21.188965,53.818523,59.037823,2.895307,-1.5804136,4.7951345
24,-0.5377793312072754,-1.7128570079803467,78.19895935058594,-1.011455992262901,0.9618297299604633,-90.86784767275064,-2.9737096,13.198849,24.572926,30.410261,-19.226595,-5.915031,6.4341,-5.500893,-16.898918,6.9824824,-13.423509,7.545225,-3.9018478,0.7322541,14.828644,0.33529997,18.676142,-25.475204,62.16413,-1.6123964,-0.5759348,-4.641633,-5.3149967,-21.303019,54.993286,59.597282,3.971018,-1.271459,5.632505
25,-0.5170689225196838,-1.794352412223816,78.13616943359375,-1.0886739069478164,0.9595400770704293,-90.33647917577092,-3.2281418,13.70984,25.878172,31.494099,-19.707815,-5.5418024,6.690438,-5.4788404,-17.453701,6.9796243,-13.679934,7.6905136,-3.4215825,0.9040546,15.065166,0.39312577,18.743078,-25.237528,62.168003,-2.06185,-0.7355895,-4.45032,-5.7205253,-21.401842,56.350666,60.192356,4.2696753,-0.9226982,6.51816
26,-0.48347049951553345,-1.9060770273208618,78.07168579101562,-1.1591875801570237,0.9462529626344722,-89.77861235967188,-3.3960936,14.192826,27.220724,32.469055,-20.199472,-5.0702405,6.981676,-5.465282,-18.03558,6.973394,-13.935675,7.8447866,-2.9108217,1.0821303,15.271502,0.54173166,18.793535,-24.924553,62.111908,-2.5200298,-0.93451506,-4.284438,-6.167331,-21.481663,57.877888,60.827927,4.001266,-0.5364781,7.472949
27,-0.44619762897491455,-2.025738000869751,78.00773620605469,-1.2180402968711594,0.9324006478732046,-89.17533429908221,-3.478107,14.618064,28.543089,33.28656,-20.676308,-4.6046414,7.300735,-5.4669647,-18.659962,6.966754,-14.194106,7.991991,-2.3991978,1.2546679,15.437495,0.76293963,18.83053,-24.55428,62.032013,-2.98238,-1.1294757,-4.1482067,-6.6301174,-21.535198,59.425163,61.40938,3.3566587,-0.086627044,8.499654
